 time            v(vin)          v(b3_collector) v(vout_final)   i(vdd)         
 1.26640000e-03  2.50099470e+00  3.73618341e+00  2.40652765e+00 -3.38463330e-05 
 1.27140000e-03  2.50099097e+00  3.73639176e+00  2.40674208e+00 -3.38449018e-05 
 1.27640000e-03  2.50098627e+00  3.73669399e+00  2.40705031e+00 -3.38427931e-05 
 1.28140000e-03  2.50098060e+00  3.73708980e+00  2.40745204e+00 -3.38400090e-05 
 1.28640000e-03  2.50097396e+00  3.73757878e+00  2.40794684e+00 -3.38365525e-05 
 1.29140000e-03  2.50096636e+00  3.73816045e+00  2.40853423e+00 -3.38324270e-05 
 1.29640000e-03  2.50095780e+00  3.73883422e+00  2.40921362e+00 -3.38276367e-05 
 1.30140000e-03  2.50094830e+00  3.73959941e+00  2.40998433e+00 -3.38221864e-05 
 1.30640000e-03  2.50093786e+00  3.74045526e+00  2.41084557e+00 -3.38160816e-05 
 1.31140000e-03  2.50092650e+00  3.74140090e+00  2.41179649e+00 -3.38093285e-05 
 1.31640000e-03  2.50091423e+00  3.74243538e+00  2.41283613e+00 -3.38019339e-05 
 1.32140000e-03  2.50090105e+00  3.74355767e+00  2.41396344e+00 -3.37939053e-05 
 1.32640000e-03  2.50088698e+00  3.74476664e+00  2.41517729e+00 -3.37852508e-05 
 1.33140000e-03  2.50087204e+00  3.74606107e+00  2.41647647e+00 -3.37759791e-05 
 1.33640000e-03  2.50085623e+00  3.74743967e+00  2.41785967e+00 -3.37660996e-05 
 1.34140000e-03  2.50083958e+00  3.74890105e+00  2.41932550e+00 -3.37556222e-05 
 1.34640000e-03  2.50082210e+00  3.75044374e+00  2.42087249e+00 -3.37445575e-05 
 1.35140000e-03  2.50080382e+00  3.75206620e+00  2.42249909e+00 -3.37329166e-05 
 1.35640000e-03  2.50078473e+00  3.75376681e+00  2.42420367e+00 -3.37207114e-05 
 1.36140000e-03  2.50076488e+00  3.75554385e+00  2.42598451e+00 -3.37079539e-05 
 1.36640000e-03  2.50074426e+00  3.75739555e+00  2.42783984e+00 -3.36946572e-05 
 1.37140000e-03  2.50072292e+00  3.75932004e+00  2.42976780e+00 -3.36808346e-05 
